,mse,rmse,mae,r2,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p
task_0,11.44674181056726,3.3833033873076266,2.2180438599586485,0.8949616090674136,0.9581092222778164,0.0,0.9698743893808004,0.0,0.8609460910173146,0.0
task_1,145.8182888833718,12.07552437301883,2.1611570854303683,-585.4359490178902,0.0803638118447128,0.0003212265127370215,0.17773047096826955,1.1734230040753956e-15,0.1203700886589699,8.746749903984382e-16
